City,Feedback
Lucknow,"Got charged extra fees without explanation. Overall, I hope it improves."
Lucknow,I faced a lot of trouble with loan processing. Process was confusing at first.
Lucknow,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Pune,Support team transferred my call repeatedly. Super smooth experience.
Chennai,App crashes during payments. Needs better support.
Chennai,Customer service responded quickly. Process was confusing at first.
Bangalore,App crashes during payments. Super smooth experience.
Ahmedabad,Credit card limit is too low even after requests. Highly recommend it.
Mumbai,Had to visit branch multiple times for one task. Highly recommend it.
Delhi,Customer support was slow and unclear. Waiting time was terrible.
Jaipur,Customer service responded quickly. Will not use again.
Pune,Support team transferred my call repeatedly. Highly recommend it.
Chennai,Credit card limit is too low even after requests. Super smooth experience.
Bangalore,Had to visit branch multiple times for one task. Still not fixed after 3 days.
Kolkata,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Mumbai,App crashes during payments. Still not fixed after 3 days.
Kolkata,Support team transferred my call repeatedly. Highly recommend it.
Bangalore,Customer service responded quickly. Highly recommend it.
Delhi,Charges on international payments are too high. Still not fixed after 3 days.
Bangalore,Customer service responded quickly. Super smooth experience.
Lucknow,Got charged extra fees without explanation. Needs better support.
Chennai,App crashes during payments. Super smooth experience.
Jaipur,Had to visit branch multiple times for one task. Super smooth experience.
Mumbai,I faced a lot of trouble with loan processing. Process was confusing at first.
Kolkata,"The branch staff were helpful and polite. Overall, I hope it improves."
Pune,Account opening was simple but incomplete info. Will not use again.
Kolkata,The app works fine but sometimes crashes. They resolved it quickly.
Jaipur,Charges on international payments are too high. Process was confusing at first.
Jaipur,The branch staff were helpful and polite. Highly recommend it.
Delhi,Support team transferred my call repeatedly. Will not use again.
Jaipur,The branch staff were helpful and polite. Needs better support.
Lucknow,Customer support was slow and unclear. Will not use again.
Hyderabad,"The app works fine but sometimes crashes. Overall, I hope it improves."
Kolkata,"Credit card limit is too low even after requests. Overall, I hope it improves."
Pune,Got charged extra fees without explanation. Waiting time was terrible.
Delhi,Credit card limit is too low even after requests. Still not fixed after 3 days.
Hyderabad,"Loan approved quickly, very satisfied! Will not use again."
Chennai,Credit card rewards are useful for shopping. Will not use again.
Bangalore,Support team transferred my call repeatedly. Process was confusing at first.
Mumbai,The app works fine but sometimes crashes. Needs better support.
Hyderabad,Account opening was simple but incomplete info. Waiting time was terrible.
Kolkata,The app works fine but sometimes crashes. Highly recommend it.
Hyderabad,"Credit card rewards are useful for shopping. Overall, I hope it improves."
Ahmedabad,Got charged extra fees without explanation. Waiting time was terrible.
Ahmedabad,Credit card limit is too low even after requests. Super smooth experience.
Chennai,"Got charged extra fees without explanation. Overall, I hope it improves."
Chennai,"Opened my account online, the process was smooth. Needs better support."
Kolkata,Credit card rewards are useful for shopping. Highly recommend it.
Kolkata,Credit card limit is too low even after requests. Still not fixed after 3 days.
Hyderabad,App crashes during payments. Still not fixed after 3 days.
Pune,The branch staff were helpful and polite. Highly recommend it.
Kolkata,The app works fine but sometimes crashes. Super smooth experience.
Mumbai,I faced a lot of trouble with loan processing. Process was confusing at first.
Pune,Charges on international payments are too high. Needs better support.
Hyderabad,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Delhi,"Opened my account online, the process was smooth. Waiting time was terrible."
Kolkata,The branch staff were helpful and polite. Process was confusing at first.
Mumbai,Customer support was slow and unclear. Still not fixed after 3 days.
Chennai,Credit card limit is too low even after requests. Process was confusing at first.
Delhi,App crashes during payments. Needs better support.
Lucknow,Credit card limit is too low even after requests. Highly recommend it.
Kolkata,Customer support was slow and unclear. Super smooth experience.
Hyderabad,Credit card limit is too low even after requests. Process was confusing at first.
Kolkata,Customer support was slow and unclear. Will not use again.
Chennai,"Opened my account online, the process was smooth. Process was confusing at first."
Bangalore,"Loan approved quickly, very satisfied! Super smooth experience."
Hyderabad,"Customer support was slow and unclear. Overall, I hope it improves."
Kolkata,Customer service responded quickly. Waiting time was terrible.
Hyderabad,Account opening was simple but incomplete info. Needs better support.
Ahmedabad,Had to visit branch multiple times for one task. They resolved it quickly.
Chennai,Customer support was slow and unclear. They resolved it quickly.
Bangalore,App crashes during payments. Highly recommend it.
Kolkata,Customer support was slow and unclear. Needs better support.
Delhi,Credit card rewards are useful for shopping. Waiting time was terrible.
Kolkata,Got charged extra fees without explanation. Waiting time was terrible.
Bangalore,"The branch staff were helpful and polite. Overall, I hope it improves."
Chennai,Had to visit branch multiple times for one task. Highly recommend it.
Ahmedabad,"Opened my account online, the process was smooth. Waiting time was terrible."
Hyderabad,Had to visit branch multiple times for one task. Process was confusing at first.
Chennai,"The app works fine but sometimes crashes. Overall, I hope it improves."
Delhi,Account opening was simple but incomplete info. Process was confusing at first.
Chennai,The app works fine but sometimes crashes. Still not fixed after 3 days.
Ahmedabad,The branch staff were helpful and polite. Still not fixed after 3 days.
Chennai,Support team transferred my call repeatedly. Highly recommend it.
Ahmedabad,The app works fine but sometimes crashes. They resolved it quickly.
Jaipur,Customer support was slow and unclear. Needs better support.
Ahmedabad,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Hyderabad,Credit card rewards are useful for shopping. Still not fixed after 3 days.
Ahmedabad,Support team transferred my call repeatedly. Will not use again.
Ahmedabad,Had to visit branch multiple times for one task. Super smooth experience.
Chennai,Credit card rewards are useful for shopping. Super smooth experience.
Jaipur,Had to visit branch multiple times for one task. Waiting time was terrible.
Kolkata,Had to visit branch multiple times for one task. Highly recommend it.
Kolkata,Got charged extra fees without explanation. Super smooth experience.
Pune,Credit card limit is too low even after requests. Still not fixed after 3 days.
Delhi,The app works fine but sometimes crashes. Will not use again.
Chennai,"Opened my account online, the process was smooth. Will not use again."
Chennai,I faced a lot of trouble with loan processing. Process was confusing at first.
Hyderabad,Credit card limit is too low even after requests. Still not fixed after 3 days.
Ahmedabad,"Opened my account online, the process was smooth. Overall, I hope it improves."
Chennai,Credit card rewards are useful for shopping. Process was confusing at first.
Hyderabad,"Support team transferred my call repeatedly. Overall, I hope it improves."
Lucknow,"Opened my account online, the process was smooth. They resolved it quickly."
Mumbai,Credit card limit is too low even after requests. Super smooth experience.
Hyderabad,Credit card rewards are useful for shopping. Process was confusing at first.
Jaipur,Charges on international payments are too high. Still not fixed after 3 days.
Lucknow,Support team transferred my call repeatedly. Waiting time was terrible.
Ahmedabad,Got charged extra fees without explanation. Super smooth experience.
Hyderabad,"Had to visit branch multiple times for one task. Overall, I hope it improves."
Hyderabad,Credit card limit is too low even after requests. Process was confusing at first.
Bangalore,Credit card rewards are useful for shopping. They resolved it quickly.
Bangalore,"Loan approved quickly, very satisfied! Still not fixed after 3 days."
Mumbai,Support team transferred my call repeatedly. Process was confusing at first.
Lucknow,"Loan approved quickly, very satisfied! Overall, I hope it improves."
Delhi,App crashes during payments. Process was confusing at first.
Bangalore,Credit card rewards are useful for shopping. They resolved it quickly.
Bangalore,The branch staff were helpful and polite. Super smooth experience.
Hyderabad,Credit card limit is too low even after requests. Waiting time was terrible.
Ahmedabad,Credit card limit is too low even after requests. Needs better support.
Hyderabad,Customer service responded quickly. Process was confusing at first.
Kolkata,Credit card rewards are useful for shopping. Highly recommend it.
Ahmedabad,The branch staff were helpful and polite. Still not fixed after 3 days.
Mumbai,Credit card limit is too low even after requests. Waiting time was terrible.
Delhi,"Account opening was simple but incomplete info. Overall, I hope it improves."
Mumbai,Got charged extra fees without explanation. Waiting time was terrible.
Mumbai,"Loan approved quickly, very satisfied! Will not use again."
Chennai,The app works fine but sometimes crashes. They resolved it quickly.
Delhi,"Loan approved quickly, very satisfied! Waiting time was terrible."
Ahmedabad,Charges on international payments are too high. Super smooth experience.
Pune,The app works fine but sometimes crashes. Highly recommend it.
Bangalore,Customer service responded quickly. Highly recommend it.
Lucknow,The branch staff were helpful and polite. Super smooth experience.
Lucknow,App crashes during payments. Process was confusing at first.
Hyderabad,Charges on international payments are too high. Waiting time was terrible.
Delhi,"Loan approved quickly, very satisfied! Waiting time was terrible."
Delhi,Charges on international payments are too high. Super smooth experience.
Lucknow,Account opening was simple but incomplete info. Highly recommend it.
Lucknow,"Account opening was simple but incomplete info. Overall, I hope it improves."
Pune,Customer support was slow and unclear. Process was confusing at first.
Pune,I faced a lot of trouble with loan processing. Still not fixed after 3 days.
Pune,The branch staff were helpful and polite. Process was confusing at first.
Ahmedabad,I faced a lot of trouble with loan processing. Process was confusing at first.
Pune,App crashes during payments. They resolved it quickly.
Bangalore,"Opened my account online, the process was smooth. Will not use again."
Jaipur,App crashes during payments. Super smooth experience.
Lucknow,Account opening was simple but incomplete info. Still not fixed after 3 days.
Ahmedabad,Had to visit branch multiple times for one task. Process was confusing at first.
Lucknow,Customer service responded quickly. Needs better support.
Chennai,Credit card rewards are useful for shopping. Highly recommend it.
Kolkata,Support team transferred my call repeatedly. They resolved it quickly.
Chennai,Account opening was simple but incomplete info. They resolved it quickly.
Lucknow,"Loan approved quickly, very satisfied! Process was confusing at first."
Pune,The branch staff were helpful and polite. They resolved it quickly.
Pune,The app works fine but sometimes crashes. They resolved it quickly.
Chennai,Credit card limit is too low even after requests. Super smooth experience.
Pune,Customer service responded quickly. Super smooth experience.
Jaipur,The branch staff were helpful and polite. Still not fixed after 3 days.
Chennai,I faced a lot of trouble with loan processing. Waiting time was terrible.
Hyderabad,Had to visit branch multiple times for one task. Still not fixed after 3 days.
Chennai,Charges on international payments are too high. They resolved it quickly.
Ahmedabad,"Had to visit branch multiple times for one task. Overall, I hope it improves."
Delhi,Customer service responded quickly. Waiting time was terrible.
Hyderabad,Charges on international payments are too high. Waiting time was terrible.
Kolkata,App crashes during payments. Needs better support.
Ahmedabad,Customer support was slow and unclear. Still not fixed after 3 days.
Pune,"Opened my account online, the process was smooth. Still not fixed after 3 days."
Pune,Credit card limit is too low even after requests. They resolved it quickly.
Kolkata,Customer service responded quickly. Super smooth experience.
Chennai,I faced a lot of trouble with loan processing. Waiting time was terrible.
Pune,I faced a lot of trouble with loan processing. Still not fixed after 3 days.
Bangalore,Got charged extra fees without explanation. Waiting time was terrible.
Ahmedabad,Customer service responded quickly. Still not fixed after 3 days.
Lucknow,Customer service responded quickly. Highly recommend it.
Chennai,Customer service responded quickly. Waiting time was terrible.
Pune,The app works fine but sometimes crashes. Super smooth experience.
Mumbai,Charges on international payments are too high. Still not fixed after 3 days.
Bangalore,"Customer service responded quickly. Overall, I hope it improves."
Mumbai,Customer support was slow and unclear. Super smooth experience.
Bangalore,App crashes during payments. They resolved it quickly.
Delhi,"Credit card rewards are useful for shopping. Overall, I hope it improves."
Lucknow,Customer service responded quickly. They resolved it quickly.
Ahmedabad,Had to visit branch multiple times for one task. Needs better support.
Bangalore,The branch staff were helpful and polite. Super smooth experience.
Ahmedabad,I faced a lot of trouble with loan processing. Highly recommend it.
Hyderabad,Had to visit branch multiple times for one task. Highly recommend it.
Lucknow,"App crashes during payments. Overall, I hope it improves."
Bangalore,The app works fine but sometimes crashes. Super smooth experience.
Delhi,Got charged extra fees without explanation. Highly recommend it.
Jaipur,Account opening was simple but incomplete info. Process was confusing at first.
Lucknow,"Loan approved quickly, very satisfied! Waiting time was terrible."
Jaipur,"Opened my account online, the process was smooth. They resolved it quickly."
Ahmedabad,Customer service responded quickly. Process was confusing at first.
Kolkata,"Loan approved quickly, very satisfied! Overall, I hope it improves."
Lucknow,Charges on international payments are too high. Highly recommend it.
Chennai,App crashes during payments. Waiting time was terrible.
Kolkata,App crashes during payments. Highly recommend it.
Bangalore,Got charged extra fees without explanation. Will not use again.
Jaipur,I faced a lot of trouble with loan processing. Will not use again.
Mumbai,"Opened my account online, the process was smooth. They resolved it quickly."
Lucknow,Had to visit branch multiple times for one task. Super smooth experience.
Mumbai,Got charged extra fees without explanation. Super smooth experience.
Kolkata,Charges on international payments are too high. They resolved it quickly.
Delhi,App crashes during payments. Waiting time was terrible.
Kolkata,Account opening was simple but incomplete info. Waiting time was terrible.
Hyderabad,I faced a lot of trouble with loan processing. Still not fixed after 3 days.
Chennai,App crashes during payments. Will not use again.
Kolkata,Credit card rewards are useful for shopping. Will not use again.
Delhi,The branch staff were helpful and polite. Will not use again.
Kolkata,"Loan approved quickly, very satisfied! Super smooth experience."
Ahmedabad,I faced a lot of trouble with loan processing. They resolved it quickly.
Kolkata,Charges on international payments are too high. Process was confusing at first.
Kolkata,Customer support was slow and unclear. Still not fixed after 3 days.
Ahmedabad,Had to visit branch multiple times for one task. Highly recommend it.
Lucknow,The branch staff were helpful and polite. Process was confusing at first.
Pune,"Loan approved quickly, very satisfied! Super smooth experience."
Mumbai,I faced a lot of trouble with loan processing. Waiting time was terrible.
Lucknow,"Loan approved quickly, very satisfied! Overall, I hope it improves."
Kolkata,"Loan approved quickly, very satisfied! Overall, I hope it improves."
Bangalore,Had to visit branch multiple times for one task. Still not fixed after 3 days.
Ahmedabad,Support team transferred my call repeatedly. Super smooth experience.
Bangalore,"Loan approved quickly, very satisfied! Process was confusing at first."
Ahmedabad,I faced a lot of trouble with loan processing. They resolved it quickly.
Pune,"Opened my account online, the process was smooth. Needs better support."
Pune,App crashes during payments. Highly recommend it.
Bangalore,Credit card limit is too low even after requests. Process was confusing at first.
Ahmedabad,Customer service responded quickly. Process was confusing at first.
Jaipur,The branch staff were helpful and polite. They resolved it quickly.
Delhi,Credit card limit is too low even after requests. Super smooth experience.
Pune,I faced a lot of trouble with loan processing. Process was confusing at first.
Jaipur,"Credit card rewards are useful for shopping. Overall, I hope it improves."
Jaipur,Had to visit branch multiple times for one task. Process was confusing at first.
Mumbai,Got charged extra fees without explanation. Still not fixed after 3 days.
Pune,"Loan approved quickly, very satisfied! They resolved it quickly."
Ahmedabad,"Account opening was simple but incomplete info. Overall, I hope it improves."
Chennai,Customer service responded quickly. Still not fixed after 3 days.
Bangalore,Support team transferred my call repeatedly. Super smooth experience.
Ahmedabad,Support team transferred my call repeatedly. They resolved it quickly.
Delhi,The branch staff were helpful and polite. Waiting time was terrible.
Bangalore,Customer service responded quickly. Still not fixed after 3 days.
Mumbai,Customer support was slow and unclear. Process was confusing at first.
Delhi,Got charged extra fees without explanation. Highly recommend it.
Ahmedabad,I faced a lot of trouble with loan processing. Will not use again.
Ahmedabad,Support team transferred my call repeatedly. Super smooth experience.
Jaipur,Charges on international payments are too high. Super smooth experience.
Hyderabad,Credit card rewards are useful for shopping. They resolved it quickly.
Ahmedabad,Got charged extra fees without explanation. They resolved it quickly.
Jaipur,The app works fine but sometimes crashes. Process was confusing at first.
Chennai,Support team transferred my call repeatedly. Still not fixed after 3 days.
Bangalore,Credit card rewards are useful for shopping. Highly recommend it.
Kolkata,Account opening was simple but incomplete info. Process was confusing at first.
Pune,Support team transferred my call repeatedly. Still not fixed after 3 days.
Kolkata,"Credit card rewards are useful for shopping. Overall, I hope it improves."
Kolkata,Charges on international payments are too high. Super smooth experience.
Lucknow,"Loan approved quickly, very satisfied! They resolved it quickly."
Bangalore,Had to visit branch multiple times for one task. Still not fixed after 3 days.
Ahmedabad,Credit card limit is too low even after requests. Needs better support.
Jaipur,Account opening was simple but incomplete info. Still not fixed after 3 days.
Hyderabad,Had to visit branch multiple times for one task. Needs better support.
Chennai,Charges on international payments are too high. Waiting time was terrible.
Lucknow,"Opened my account online, the process was smooth. Waiting time was terrible."
Hyderabad,The branch staff were helpful and polite. Needs better support.
Ahmedabad,Charges on international payments are too high. Process was confusing at first.
Hyderabad,App crashes during payments. Will not use again.
Ahmedabad,The branch staff were helpful and polite. Will not use again.
Jaipur,"Loan approved quickly, very satisfied! Needs better support."
Delhi,Credit card rewards are useful for shopping. They resolved it quickly.
Delhi,Customer support was slow and unclear. They resolved it quickly.
Mumbai,Charges on international payments are too high. Will not use again.
Hyderabad,Credit card rewards are useful for shopping. Will not use again.
Delhi,Had to visit branch multiple times for one task. Super smooth experience.
Pune,"Loan approved quickly, very satisfied! Process was confusing at first."
Delhi,Credit card rewards are useful for shopping. Needs better support.
Jaipur,"Opened my account online, the process was smooth. Needs better support."
Ahmedabad,Credit card rewards are useful for shopping. Still not fixed after 3 days.
Mumbai,"Loan approved quickly, very satisfied! Highly recommend it."
Chennai,App crashes during payments. Super smooth experience.
Chennai,Charges on international payments are too high. Highly recommend it.
Hyderabad,I faced a lot of trouble with loan processing. Highly recommend it.
Ahmedabad,The app works fine but sometimes crashes. Super smooth experience.
Mumbai,The branch staff were helpful and polite. Needs better support.
Mumbai,Customer service responded quickly. Needs better support.
Pune,"Opened my account online, the process was smooth. Will not use again."
Chennai,Customer support was slow and unclear. Process was confusing at first.
Lucknow,App crashes during payments. Will not use again.
Bangalore,The app works fine but sometimes crashes. Highly recommend it.
Lucknow,Credit card rewards are useful for shopping. Process was confusing at first.
Lucknow,App crashes during payments. Waiting time was terrible.
Ahmedabad,Support team transferred my call repeatedly. Will not use again.
Chennai,Had to visit branch multiple times for one task. Super smooth experience.
Ahmedabad,"Customer service responded quickly. Overall, I hope it improves."
Ahmedabad,Support team transferred my call repeatedly. Super smooth experience.
Jaipur,The app works fine but sometimes crashes. Highly recommend it.
Ahmedabad,Credit card limit is too low even after requests. Super smooth experience.
Hyderabad,Charges on international payments are too high. Super smooth experience.
Ahmedabad,Credit card rewards are useful for shopping. Super smooth experience.
Chennai,"Opened my account online, the process was smooth. They resolved it quickly."
Delhi,Got charged extra fees without explanation. Process was confusing at first.
Lucknow,Credit card limit is too low even after requests. Super smooth experience.
Kolkata,The branch staff were helpful and polite. Process was confusing at first.
Kolkata,"The branch staff were helpful and polite. Overall, I hope it improves."
Lucknow,Charges on international payments are too high. They resolved it quickly.
Kolkata,Account opening was simple but incomplete info. Waiting time was terrible.
Lucknow,Account opening was simple but incomplete info. Needs better support.
Chennai,App crashes during payments. Waiting time was terrible.
Lucknow,Customer service responded quickly. Will not use again.
Delhi,"Support team transferred my call repeatedly. Overall, I hope it improves."
Kolkata,Account opening was simple but incomplete info. They resolved it quickly.
Mumbai,"Loan approved quickly, very satisfied! Needs better support."
Bangalore,I faced a lot of trouble with loan processing. Super smooth experience.
Pune,Charges on international payments are too high. Process was confusing at first.
Bangalore,Got charged extra fees without explanation. Will not use again.
Jaipur,Support team transferred my call repeatedly. Needs better support.
Jaipur,Customer support was slow and unclear. Super smooth experience.
Bangalore,Customer service responded quickly. They resolved it quickly.
Kolkata,Charges on international payments are too high. Needs better support.
Delhi,Had to visit branch multiple times for one task. Highly recommend it.
Bangalore,Account opening was simple but incomplete info. Waiting time was terrible.
Hyderabad,Credit card rewards are useful for shopping. Still not fixed after 3 days.
Pune,I faced a lot of trouble with loan processing. Process was confusing at first.
Mumbai,Customer service responded quickly. Still not fixed after 3 days.
Delhi,Had to visit branch multiple times for one task. Needs better support.
Kolkata,"Loan approved quickly, very satisfied! Process was confusing at first."
Pune,I faced a lot of trouble with loan processing. Waiting time was terrible.
Ahmedabad,The branch staff were helpful and polite. Still not fixed after 3 days.
Pune,Support team transferred my call repeatedly. Waiting time was terrible.
Delhi,App crashes during payments. They resolved it quickly.
Kolkata,App crashes during payments. Process was confusing at first.
Delhi,"The app works fine but sometimes crashes. Overall, I hope it improves."
Mumbai,Customer service responded quickly. They resolved it quickly.
Delhi,I faced a lot of trouble with loan processing. Waiting time was terrible.
Jaipur,The app works fine but sometimes crashes. Process was confusing at first.
Ahmedabad,Credit card limit is too low even after requests. Still not fixed after 3 days.
Hyderabad,"Loan approved quickly, very satisfied! Will not use again."
Hyderabad,App crashes during payments. Highly recommend it.
Ahmedabad,"Loan approved quickly, very satisfied! Process was confusing at first."
Kolkata,The branch staff were helpful and polite. Needs better support.
Chennai,Had to visit branch multiple times for one task. They resolved it quickly.
Chennai,Credit card rewards are useful for shopping. Needs better support.
Delhi,App crashes during payments. Needs better support.
Jaipur,Support team transferred my call repeatedly. Needs better support.
Mumbai,"Opened my account online, the process was smooth. Super smooth experience."
Chennai,I faced a lot of trouble with loan processing. They resolved it quickly.
Delhi,App crashes during payments. Waiting time was terrible.
Lucknow,"The branch staff were helpful and polite. Overall, I hope it improves."
Pune,Got charged extra fees without explanation. Will not use again.
Lucknow,Got charged extra fees without explanation. Highly recommend it.
Jaipur,Got charged extra fees without explanation. Waiting time was terrible.
Chennai,Credit card limit is too low even after requests. Will not use again.
Lucknow,The branch staff were helpful and polite. Super smooth experience.
Bangalore,The app works fine but sometimes crashes. Still not fixed after 3 days.
Kolkata,Account opening was simple but incomplete info. Will not use again.
Delhi,"App crashes during payments. Overall, I hope it improves."
Bangalore,The branch staff were helpful and polite. Needs better support.
Chennai,"Loan approved quickly, very satisfied! Needs better support."
Mumbai,The app works fine but sometimes crashes. Super smooth experience.
Mumbai,The app works fine but sometimes crashes. Process was confusing at first.
Jaipur,I faced a lot of trouble with loan processing. Highly recommend it.
Ahmedabad,Had to visit branch multiple times for one task. Needs better support.
Jaipur,"Loan approved quickly, very satisfied! Highly recommend it."
Ahmedabad,Customer support was slow and unclear. Waiting time was terrible.
Lucknow,The branch staff were helpful and polite. Still not fixed after 3 days.
Kolkata,"Had to visit branch multiple times for one task. Overall, I hope it improves."
Mumbai,Had to visit branch multiple times for one task. Process was confusing at first.
Hyderabad,App crashes during payments. Highly recommend it.
Ahmedabad,Charges on international payments are too high. They resolved it quickly.
Delhi,Support team transferred my call repeatedly. Highly recommend it.
Pune,"Loan approved quickly, very satisfied! Will not use again."
Delhi,The app works fine but sometimes crashes. Super smooth experience.
Lucknow,App crashes during payments. Still not fixed after 3 days.
Pune,"Opened my account online, the process was smooth. Still not fixed after 3 days."
